date,title,url,sourceName
13.3.2020,CDC chief: Certain materials critical to coronavirus tests​ 'now are in short supply',https://www.supplychaindive.com/news/cdc-chief-reagents-critical-to-coronavirus-tests-in-short-supply/574123/,Supplychaindive
12.3.2020,FDA chief warns of supply 'pressure' on reagents for coronavirus tests,https://www.medtechdive.com/news/fda-chief-warns-of-supply-pressure-on-reagents-for-coronavirus-tests/573999/,Medtechdive
13.3.2020,Apple shuts down retail locations outside of Greater China,https://www.apple.com/newsroom/2020/03/apples-covid-19-response/,Apple
13.3.2020,Air freight rates start to surge as carriers unveil plans for the transatlantic,https://theloadstar.com/air-freight-rates-start-to-surge-as-carriers-unveil-plans-for-the-transatlantic/,Com/Air-Freight-Rates-Start-To-Surge-As-Carriers-Unveil-Plans-For-The-Transatlantic/
13.3.2020,British Airways boss tells staff jobs will go,https://www.bbc.com/news/business-51875271,BBC
26.2.2020,60% of U.S. Manufacturers Say Business Has Been Impacted by Coronavirus,https://www.thomasnet.com/insights/60-of-u-s-manufacturers-say-business-has-been-impacted-by-coronavirus/,Thomasnet
14.3.2020,How coronavirus is upsetting the blood supply chain,https://www.livescience.com/amp/coronavirus-blood-supply-chain.html,Livescience
13.3.2020,Garment industry workers in Cambodia and Myanmar feel coronavirus fall-out,https://www.just-style.com/news/workers-in-cambodia-and-myanmar-feel-coronavirus-fall-out_id138311.aspx,Just-Style
11.3.2020,"Coronavirus causing severe disruption in supply chain, logisticsFast",https://www.theweek.in/news/biz-tech/2020/03/11/coronavirus-causing-severe-disruption-in-supply-chain-logistics.html,Theweek
13.3.2020,Morrisons moves to support supply chain through coronavirus outbreak,https://www.cityam.com/morrisons-moves-to-support-supply-chain-through-coronavirus-outbreak/,Cityam
8.3.2020,Malaysia bans cruise ships,https://www.thestar.com.my/news/nation/2020/03/08/malaysia-bans-cruise-ships,Thestar
7.3.2020,Bali follows East Java in turning away MV Viking Sun cruise ship over coronavirus fears,https://www.thejakartapost.com/news/2020/03/06/bali-follows-east-java-in-turning-away-mv-viking-sun-cruise-ship-over-coronavirus-fears.html,Thejakartapost
7.3.2020,India PM reviews the situation on COVID-19 with concerned Ministries,https://www.pmindia.gov.in/en/news_updates/pm-reviews-the-situation-on-covid-19-with-concerned-ministries/,Pmindia
9.3.2020,Shipping group CMA CGM sees limited virus impact as China activity resumes,https://www.businesstimes.com.sg/transport/shipping-group-cma-cgm-sees-limited-virus-impact-as-china-activity-resumes,Businesstimes
19.3.2020,Wealthy flock to private jets as pandemic spreads and airlines tank,https://www.businesstimes.com.sg/transport/wealthy-flock-to-private-jets-as-pandemic-spreads-and-airlines-tank,Businesstimes
18.3.2020,"Airbus suspends production in France and Spain, shares slide",https://www.businesstimes.com.sg/transport/airbus-suspends-production-in-france-and-spain-shares-slide,Businesstimes
21.2.2020,Coronavirus increases demand for Eastern European crew,https://www.ftwonline.co.za/article/coronavirus-increases-demand-eastern-european-crew,FTW Online
18.3.2020,Uncertainty surrounding cross-border transport amid Covid-19,https://www.ftwonline.co.za/article/uncertainty-surrounding-cross-border-transport-amid-covid-19,FTW Online
3.3.2020,IATA world cargo event postponed by Coronavirus fears,https://aircargoeye.com/iata-world-cargo-event-postponed-by-coronavirus-fears/,AirCargoEye
6.3.2020,Japan aims to break supply chain dependence on China in light of COVID-19,https://www.japantimes.co.jp/news/2020/03/06/business/japan-aims-break-supply-chain-dependence-china/#.XmXnaGmnxCU,Japan Times
11.3.2020,"Italy: 80% drop in passenger numbers, almost no fluctuations in cargo and ecom",https://theloadstar.com/an-insiders-view-from-behind-italys-coronavirus-curtain/,The Loadstar
26.2.2020,60% of U.S. Manufacturers Say Business Has Been Impacted by Coronavirus,https://www.thomasnet.com/insights/60-of-u-s-manufacturers-say-business-has-been-impacted-by-coronavirus/,Thomasnet
10.3.2020,James Dyson says coronavirus is 'the worst crisis in living memory' - and warns of supply shortages,https://inews.co.uk/news/james-dyson-coronavirus-worst-crisis-living-memory-supply-fears-corrole-hair-straightener-2445441,Inews
10.3.2020,Air freight rates expected to hit $10/kg – but Atlas keeps aircraft grounded,https://theloadstar.com/air-freight-rates-expected-to-hit-10-kg-but-atlas-keeps-aircraft-grounded/,Com/Air-Freight-Rates-Expected-To-Hit-10-Kg-But-Atlas-Keeps-Aircraft-Grounded/
11.3.2020,Air freight rates surge on coronavirus supply chain chaos,https://www.lloydsloadinglist.com/freight-directory/news/Air-freight-rates-surge-on-coronavirus-supply-chain-chaos/76155.htm,Lloydsloadinglist
11.3.2020,U.S. West Coast Facing “The Drumbeat of Bad News,https://www.scmr.com/article/u.s._west_coast_facing_the_drumbeat_of_bad_news,SCMR
11.3.2020,75% of companies report coronavirus has disrupted their supply chains,https://fortune.com/2020/03/11/75-of-companies-report-coronavirus-has-disrupted-their-supply-chains/,Com/2020/03/11/75-Of-Companies-Report-Coronavirus-Has-Disrupted-Their-Supply-Chains/
11.3.2020,Coronavirus fallout: At least 150 companies have warned of earnings hit,https://www.cnbc.com/2020/03/11/coronavirus-at-least-150-companies-have-warned-investors.html,CNBC
10.3.2020,Wildcat strike in Fiat's Italy factory due to the virus,https://www.ilmattino.it/napoli/coronavirus_campania_napoli_sciopero_spontaneo_fiat_di_pomigliano-5102791.html,Il Mattino
5.3.2020,3M taps regional suppliers to meet soaring demand for masks,https://www.reuters.com/article/us-health-coronavirus-3m/3m-taps-regional-suppliers-to-meet-soaring-demand-for-masks-idUSKBN20S214,Reuters
10.3.2020,Goldman: Coronavirus could reduce profits 3.6% for manufacturers,https://www.supplychaindive.com/news/manufacturers-36-drop-profit-coronavirus-goldman/573800/,Supplychain Dive
10.3.2020,"Airlines Are Sounding Alarms. Shouldn’t Suppliers, Too?",https://www.bloomberg.com/opinion/articles/2020-03-10/american-aal-delta-dal-warn-on-virus-what-about-suppliers,Bloomberg
10.3.2020,How COVID-19 is Battering Australia’s Imports and Exports,https://www.logisticsbureau.com/how-covid-19-is-battering-australias-imports-and-exports/,Logistics Bureau
2.3.2020,“Pandemic pantries” pressure supply chain amid covid-19 fears,https://www.nielsen.com/us/en/insights/article/2020/nielsen-investigation-pandemic-pantries-pressure-supply-chain-amidst-covid-19-fears/,Nielsen
13.2.2020,Covid-19: the unexpected catalyst for tech adoption,https://www.nielsen.com/us/en/insights/article/2020/covid-19-the-unexpected-catalyst-for-tech-adoption/,Nielsen
16.3.2020,Consumers forced indoors during crisis spend more time on media,https://www.nielsen.com/us/en/insights/article/2020/staying-put-consumers-forced-indoors-during-crisis-spend-more-time-on-media/,Nielsen
16.3.2020,"Tracking the impact on fmcg, retail and media",https://www.nielsen.com/us/en/insights/article/2020/covid-19-tracking-the-impact-on-fmcg-and-retail/,Nielsen
10.3.2020,irlines cancel thousands of flights,https://www.bbc.com/news/business-51818492,BBC
10.3.2020,American and delta announce deep cuts in international and domestic flights,https://flyhigh.news/american-and-delta-announce-deep-cuts-in-international-and-domestic-flights/,Flyhigh News
10.3.2020,United Airlines’ US bookings plunge 70% as coronavirus spreads,https://www.cnbc.com/2020/03/10/coronavirus-drives-united-airlines-us-bookings-down-70percent.html,CNBC
10.30.2020,‘Most places are not prepared’: Face mask shortage could get much worse as coronavirus spreads,https://fortune.com/2020/03/10/coronavirus-face-masks-covid-19-n95-surgical-mask-shortage/,Fortune
4.3.2020,Amazon Prime Now and other delivery services hit with delays as online shopping surges amid coronavirus outbreak,https://www.cnbc.com/2020/03/04/amazon-prime-now-suffers-delays-amid-coronavirus-outbreak.html,CNBC
8.3.2020,Apple product launches face months of delays over supply chain backlog,https://appleinsider.com/articles/20/03/08/apple-product-launches-face-months-of-delays-over-supply-chain-backlog,Apple Insider
10.3.2020,New measures to help maintain UK food supply chain,https://www.farminguk.com/news/coronavirus-new-measures-to-help-maintain-uk-food-supply-chain_55168.html,Farminguk
10.3.2020,Italian lock down & trade lane logistics,https://uniserve.co.uk/covid-19-italian-lock-down-trade-lane-logistics/,CO
18.2.2020,Commentary: Supply-Chain Risks From the Coronavirus Demand Immediate Action,https://www.wsj.com/articles/commentary-supply-chain-risks-from-the-coronavirus-demand-immediate-action-11582054704,WSJ
10.3.2020, 'Coronavirus impact subsiding rapidly' as China shipping revives,https://theloadstar.com/coronavirus-impact-subsiding-rapidly-as-china-shipping-revives/,Com/Coronavirus-Impact-Subsiding-Rapidly-As-China-Shipping-Revives/
9.3.2020,Coronavirus Impact on Imports Expected To Be Larger and Longer Than Previously Anticipated,http://www.supplychain247.com/article/coronavirus_impact_on_imports_expected_to_be_larger_and_longer,Supplychain247
10.3.2020,"Coronavirus will alter, not destroy, global supply chain — former UN ambassador",https://www.freightwaves.com/news/coronavirus-will-alter-not-destroy-global-supply-chain-former-un-ambassador,Freightwaves
10.3.2020,How to prepare the tech supply chain for the next outbreak: ‘You just can’t,https://www.scmp.com/tech/big-tech/article/3074333/how-prepare-tech-supply-chain-next-outbreak-you-just-cant,SCMP
13.3.2020,JP Morgan forecasts a US recession for 2020,https://www.fxstreet.com/news/jp-morgan-forecasts-a-us-recession-for-2020-202003130315,Fxstreet
12.3.2020,China-US airfreight rates still going up,https://www.supplychaindive.com/news/airfreight-rates-china-us-coronavirus-covid-capacity/573991/,Supplychaindive
12.3.2020,Industry disputes Trump statement that Europe air travel ban exempts freight,https://www.freightwaves.com/news/industry-disputes-trump-statement-that-europe-air-travel-ban-exempts-freight,Freightwaves
12.3.2020,Coronavirus spawns worldwide box-repositioning challenge,https://www.freightwaves.com/news/coronavirus-spawns-worldwide-box-repositioning-challenge,Freightwaves
6.3.2020,China small parcel shipping industry recovering rapidly ,https://news.cgtn.com/news/2020-03-06/China-s-delivery-industry-predicted-to-be-close-to-normal-by-mid-March-ODvd2DqJtC/index.html,CGTN
5.3.2020,Infographic: Coronavirus' Impact on Small Parcel Shipping,https://www.inddist.com/logistics/blog/21120320/infographic-coronavirus-impact-on-small-parcel-shipping,IndDist
5.3.2020,Harvard Business Review calls for more resilient supply chains,https://hbr.org/2020/03/coronavirus-is-proving-that-we-need-more-resilient-supply-chains,HBR
5.3.2020,Italian ship owners asking for help from their government,https://splash247.com/italian-shipowners-seek-romes-help-in-coronavirus-fight/,Splash247
3.3.2020,US truckers confused about how to deal with the virus,https://www.businessinsider.in/business/news/walmart-and-amazon-truck-drivers-say-their-employers-havent-provided-guidance-about-how-to-deal-with-coronavirus/articleshow/74449746.cms,Businessinsider
5.3.2020,China-Europe weekly rail services restarting,https://www.logisticsmanager.com/davies-turner-re-starts-china-rail-freight-service-after-coronavirus-delays/,Logisticsmanager
16.3.2020,Goldman Sachs doesn't think the stock market drops have finished,https://markets.businessinsider.com/news/stocks/stock-market-outlook-sp500-slump-2000-coronavirus-low-goldman-sachs-2020-3-1029000121,Businessinsider
16.3.2020,U.S. factories are likely to close because of the coronavirus’ supply-chain shock,https://www.marketwatch.com/story/guid/9CBBB992-6794-11EA-9596-8A889527719F,Marketwatch
16.3.2020,"Supply impact of the coronavirus outbreak is waning, but demand shock will linger, economist says",https://www.cnbc.com/2020/03/16/coronavirus-outbreaks-supply-hit-fading-but-not-demand-shock-economist.html,CNBC
16.3.2020,Coronavirus Impacts Every Sector of the Supply Chain,https://www.sdcexec.com/risk-compliance/article/21122477/coronavirus-impacts-every-sector-of-the-supply-chain,SDC Exec
3.3.2020,China cargo flows rapidly return to pre-coronavirus levels,https://www.freightwaves.com/news/china-cargo-flows-rapidly-return-to-pre-coronavirus-levels,Freightwaves
4.3.2020,Delta reduces Japan flight schedule amid coronavirus downturn,https://www.freightwaves.com/news/delta-reduces-japan-flight-schedule-amid-coronavirus-downturn/,Freightwaves
4.3.2020,IATA: Cargo declined in January but Covid-19 impact yet to be felt,https://www.aircargonews.net/data/iata-cargo-declined-in-january-but-covid-19-impact-yet-to-be-felt/,Aircargonews
3.3.2020,SAS To Cut Flights In Scandinavia & Europe As Coronavirus Hits Demand,https://www.forbes.com/sites/davidnikel/2020/03/03/sas-to-cut-flights-in-scandinavia--europe-as-coronavirus-hits-demand/#7b95eb1f110f,Forbes
4.3.2020,Airfreight rate data points to China demand surge ahead,https://www.aircargonews.net/data/airfreight-rate-data-points-to-china-demand-surge-ahead/,Aircargonews
4.3.2020,South Korea faces ‘unprecedented’ supply chain chaos from spread of coronavirus,https://splash247.com/south-korea-faces-unprecedented-supply-chain-chaos-from-spread-of-coronavirus/,Splash247
3.3.2020,U.S. Ports Likely to See Slump in Cargo Volume From Coronavirus,https://www.wsj.com/articles/u-s-ports-likely-to-see-slump-in-cargo-volume-from-coronavirus-11583274643,WSJ
3.3.2020,Coronavirus restricting flow of goods into Canada: CN CEO,https://www.freightwaves.com/news/port-of-la-taking-substantial-hit-from-coronavirus/,Freightwaves
4.3.2020,AliExpress Warns Customers For Late Shipment Due To Coronavirus Outbreak,https://www.gizbot.com/news/aliexpress-warns-customers-about-late-shipment-due-to-coronavirus-066079.html,Gizbot
4.3.2020,Hand sanitiser sales up 255% in February as grocers see healthier performance,https://www.logisticsmanager.com/hand-sanitiser-sales-up-255-in-february-as-grocers-see-healthier-performance/,Logisticsmanager
4.3.2020,Coronavirus: Half of UK retailers grappling supply chain disruption,https://www.retail-week.com/supply-chain/coronavirus-half-of-uk-retailers-grappling-supply-chain-disruption/7034288.article?authent=1,Retail-Week
4.3.2020,Pentagon planning for possible supply chain disruptions from coronavirus,https://insidedefense.com/insider/pentagon-planning-possible-supply-chain-disruptions-coronavirus,Com/Insider/Pentagon-Planning-Possible-Supply-Chain-Disruptions-Coronavirus
9.3.2020,In parts of the USA stocks of iPhone 11 have run out and there is no sign of a resupply,https://www.heise.de/mac-and-i/meldung/iPhone-11-und-11-Pro-Berichte-ueber-mangelnden-Nachschub-4678376.html,Heise
7.3.2020,COVID-19 swallows $400 million revenue of African airlines,https://www.logupdateafrica.com/covid19-swallows-400-million-revenue-of-african-airlines-aviation,Logupdateafrica
9.3.2020, Carriers eye empty passenger services to keep intra-Asia air cargo moving,https://theloadstar.com/carriers-eye-empty-passenger-services-to-keep-intra-asia-air-cargo-moving/,The Loadstar
9.3.2020,"U.S. Exempts Face Masks, Medical Products From China Tariffs",https://www.supplychainbrain.com/articles/30986-us-exempts-face-masks-medical-products-from-china-tariffs,Supplychainbrain
13.3.2020,How one company made $208 million on an untested coronavirus vaccine,https://www.statnews.com/2020/03/13/how-one-company-made-208-million-on-an-untested-coronavirus-vaccine/,Statnews
6.3.2020,How coronavirus will affect the global supply chain,https://hub.jhu.edu/2020/03/06/covid-19-coronavirus-impacts-global-supply-chain/,JHU
9.3.2020,"Coronavirus update: COVID-19 likely to cost economy $1 trillion during 2020, says UN trade agency",https://news.un.org/en/story/2020/03/1059011,UN
10.3.2020,Italy Seeks Bank Accord for Mortgage Relief Amid Virus Lockdown,https://www.bloomberg.com/news/articles/2020-03-10/italy-negotiating-with-banks-for-mortgage-relief-in-virus-crisis,Bloomberg
4.3.2020,"Coronavirus COVID-19 wipes $50 billion off global exports in February alone, as IMF pledges support for vulnerable nations",https://news.un.org/en/story/2020/03/1058601,UN
18.3.2020,"Swift policy action, strong leadership can save millions of jobs, ‘avert the worst’ amid COVID-19 pandemic",https://news.un.org/en/story/2020/03/1059672,UN
