date,organisation,url,organisationType,location
10.3.2020,Kansainvälinen soutuliitto,http://www.worldrowing.com/news/communication-joint-decisions-related-the-impact-the-novel-coronavirus-covid-2020-world-rowing-events-italy,Kansainvälinen lajiliitto,Maailma
10.3.2020,Harvard,https://www.technologyreview.com/f/615340/harvard-tells-students-not-to-return-from-spring-break/,Yliopisto,Yhdysvallat
10.3.2020,Cornell,https://news.cornell.edu/stories/2020/03/classes-move-online-semester-combat-coronavirus,Yliopisto,Yhdysvallat
10.3.2020,MIT,https://news.mit.edu/2020/letter-regarding-escalating-response-covid-19-0310,Yliopisto,Yhdysvallat
11.3.2020,Johns Hopkins,https://hub.jhu.edu/novel-coronavirus-information/,Yliopisto,Yhdysvallat
11.3.2020,Rutgers,https://coronavirus.rutgers.edu/,Yliopisto,Yhdysvallat
10.3.2020,UCLA,https://chancellor.ucla.edu/messages/uclas-transition-online-instruction/,Yliopisto,Yhdysvallat
12.3.2020,SATS / Elixia,https://www.hbl.fi/artikel/gymkedja-stanger-anlaggningar-i-hela-norden/,Yritys,Pohjoismaat
6.3.2020,University of Washington,https://www.washington.edu/coronavirus/2020/03/06/moving-classes-online-and-concluding-the-winter-quarter/,Yliopisto,Yhdysvallat
12.3.2020,Messukeskus,https://messukeskus.com/press-release/messukeskus-koronavirustilanne/,Yritys,Suomi
12.3.2020,Suomen partiolaiset,https://www.is.fi/kotimaa/art-2000006437080.html,Nuorisojärjestö,Suomi
12.3.2020,London School of Economics,https://info.lse.ac.uk/current-students/Coronavirus-FAQs?fbclid=IwAR2Q10HFkgokquYlIruQ1GAQpM5R2xjrlPomzOQ9VAmK9Tn1CIFZLkIhlhY,Yliopisto,UK
11.3.2020,NBA,https://www.nba.com/article/2020/03/11/coronavirus-pandemic-causes-nba-suspend-season,Ammattiurheilusarja,USA
5.3.2020,Russian Economic forum,https://www.reuters.com/article/uk-health-coronavirus-russia-forum/russia-cancels-flagship-st-petersburg-economic-forum-over-virus-fears-ifax-idUKKBN20S2DN,Konferenssi,Venäjä
27.2.2020,Facebook F8,https://developers.facebook.com/blog/post/2020/02/27/important-f8-2020-update/,Konferenssi,Yhdysvallat
12.3.2020,SXSW,https://www.sxsw.com/news/2020/sxsw-update-registration-deferral-details-and-more/,Festivaali,Yhdysvallat
13.3.2020,HSBC,https://www.reuters.com/article/us-health-coronavirus-hsbc-hldg/hsbc-activates-social-distancing-split-site-measures-in-uk-due-to-virus-idUSKBN2101JE?il=0,Pankki,UK
13.3.2020,Katolinen kirkko,https://www.reuters.com/article/us-health-coronavirus-italy-churches/catholics-rail-against-christ-in-quarantine-church-closures-in-rome-idUSKBN2101JC?il=0,Kirkko,Italia
13.3.2020,AT&T,https://www.theverge.com/2020/3/12/21177538/att-broadband-internet-data-cap-coronavirus-suspend,Yritys,Yhdysvallat
13.3.2020,UEFA,https://www.theverge.com/2020/3/13/21178041/premier-league-england-football-suspended-coronavirus-covid-19,Ammattiurheilusarja,Maailma
13.3.2020,F1,https://www.bbc.com/sport/formula1/51871615,Ammattiurheilusarja,Maailma
13.3.2020,Disney,https://www.bloomberg.com/news/articles/2020-03-12/disney-to-close-disneyland-resort-as-virus-spreads-in-california?srnd=premium-europe,Yritys,Yhdysvallat
13.3.2020,Ford,https://www.reuters.com/article/us-health-coronavirus-autos-ford-motor/gm-ford-to-have-white-collar-employees-work-remotely-starting-monday-idUSKBN2102DB?il=0,Yritys,Yhdysvallat
13.3.2020,Nvidia,https://www.gamesradar.com/nvidias-calling-on-gaming-pc-owners-to-put-their-systems-to-work-fighting-covid-19/?fbclid=IwAR2Gw75HB5oT4BFdqP5kO4SLbJN4pjYczpIz5r0IYTAyIjElUohouU5S1SM,Yritys,Yhdysvallat
12.3.2020,NCAA,https://www.ncaa.org/about/resources/media-center/news/ncaa-cancels-remaining-winter-and-spring-championships,Ammattiurheilusarja,Yhdysvallat
12.3.2020,NHL,https://www.nhl.com/news/nhl-coronavirus-status/c-316155530,Ammattiurheilusarja,Yhdysvallat
12.3.2020,MLB,https://www.mlb.com/news/mlb-2020-season-delayed,Ammattiurheilusarja,Yhdysvallat
12.3.2020,MLS,https://www.mlssoccer.com/2020/covid-19,Ammattiurheilusarja,Yhdysvallat
13.3.2020,Bostonin Maraton,https://www.baa.org/124th-boston-marathon-postponed-september-14,Urheilutapahtuma,Yhdysvallat
13.3.2020,Lontoon Maraton,https://www.reuters.com/article/us-health-coronavirus-britain-marathon/london-marathon-postponed-to-october-due-to-coronavirus-idUSKBN2102S9?feedType=RSS&feedName=sportsNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FsportsNews+%28Reuters+Sports+News%29,Urheilutapahtuma,UK
16.3.2020,Aurinkomatkat,https://www.hs.fi/kotimaa/art-2000006440845.html,Yritys,Suomi
16.3.2020,Ryanair,https://www.reuters.com/article/us-health-coronavirus-ryanair/ryanair-grounds-most-of-its-fleet-across-europe-for-the-next-week-idUSKBN2131HH?il=0,Yritys,Irlanti
16.3.2020,VR,https://yle.fi/uutiset/3-11259759,Yritys,Suomi
16.3.2020,Finnkino,https://www.finnkino.fi/news/5999/,Yritys,Suomi
20.3.2020,Caruna,https://www.talouselama.fi/uutiset/caruna-helpottaa-asiakkaidensa-elamaa-koronan-levitessa-antaa-mahdollisuuden-siirtaa-laskunmaksuja/e62e89fe-56ed-4f61-b0f3-c167d431db4e,Yritys,Suomi
